X1,X2,X3,X4,X5,X6,X7
71.06,71.06,100,4,NA,2.5,14
57.92,55.94,93.1,7,NA,7,10
73.04,71.06,93.52,0,NA,10,12
60.98,53.96,77.66,4,NA,10,8
NA,NA,NA,7,NA,5,11
62.96,51.98,67.34,3,NA,10,7
84.92,73.94,69.73,11,16,7,15
75.02,66.92,75.93,10,17,10,14
60.08,48.92,66.56,8,NA,10,8
78.8,75.2,88.75,5,NA,10,16
37.94,30.92,75.58,6,NA,10,6
41,37.94,88.76,11,21,8,17
62.96,55.04,75.33,3,NA,8,10
75.92,68,76.48,6,NA,8,13
44.6,33.8,65.61,0,NA,10,12
41,41,100,9,NA,3,9
53.96,46.04,74.48,7,NA,10,17
66.02,64.04,93.33,5,NA,1.5,15
NA,NA,NA,7,NA,9,13
NA,NA,NA,3,NA,10,11
50,37.94,63.08,6,NA,10,22
57.92,33.98,40.37,19,30,10,14
46,37.9,73.18,10,17,10,12
NA,NA,NA,7,NA,10,13
17.6,8.6,67.28,5,NA,9,14
33.98,15.98,47.25,9,NA,10,16
26.6,23,86.07,0,NA,10,13
71.06,53.96,54.73,6,NA,10,14
51.98,50,92.93,16,19,10,15
71.06,69.08,93.47,7,NA,7,14
50,42.08,74.1,0,NA,10,16
66.02,60.08,81.15,9,NA,10,8
NA,NA,NA,18,NA,10,18
41,26.06,54.97,5,NA,10,9
6.08,-7.96,51.58,14,NA,10,9
42.98,30.02,59.93,5,NA,10,6
32,19.4,59.27,0,NA,10,14
69.98,69.08,96.97,5,NA,5,10
24.98,12.02,57.33,9,NA,10,11
NA,NA,NA,11,NA,10,9
75.92,64.94,68.78,9,NA,10,15
69.8,53.6,56.38,14,NA,10,15
62.6,59,88,24,34,2,22
66.02,62.06,87.05,12,NA,7,15
78.08,69.08,73.88,6,NA,10,11
NA,NA,NA,15,20,10,14
NA,NA,NA,6,NA,10,6
NA,NA,NA,12,NA,6,10
46.04,37.94,73.18,3,NA,10,6
NA,NA,NA,3,NA,10,11
69.98,64.04,81.44,18,NA,10,8
73.04,51.98,47.59,8,NA,10,18
NA,NA,NA,6,NA,10,13
75.92,73.04,90.8,0,NA,10,11
NA,NA,NA,4,NA,10,10
57.02,33.08,40.22,11,NA,10,13
50,42.98,76.71,8,NA,9,16
62.06,57.92,86.29,5,NA,2.5,7
73.04,64.04,73.41,7,NA,10,13
60.98,48.92,64.46,0,NA,10,14
60.98,50,67.11,4,NA,10,18
-2.92,-9.94,71.17,10,NA,10,14
NA,NA,NA,0,NA,10,10
50,39.92,68.15,0,NA,10,11
NA,NA,NA,8,NA,10,6
78.08,69.08,73.88,8,NA,7,18
51.08,46.04,82.81,4,NA,6,8
NA,NA,NA,15,NA,10,18
NA,NA,NA,8,NA,10,22
84.02,68,58.65,5,NA,9,16
73.04,57.92,59.08,10,NA,10,17
42.98,30.92,62.16,18,25,10,9
69.98,55.04,59.06,4,NA,10,17
71.06,66.92,86.77,5,NA,10,6
62.96,59,86.9,7,NA,3,22
35.96,14,40.05,7,NA,10,15
62.96,57.02,80.93,8,NA,7,10
NA,NA,NA,8,NA,10,22
82.94,23,10.97,6,NA,10,20
51.08,44.06,76.8,6,NA,10,11
77,69.98,78.96,4,NA,7,8
73.04,48.92,42.48,9,16,10,19
NA,NA,NA,6,NA,10,5
80.06,57.02,45.3,7,NA,10,20
NA,NA,NA,11,NA,10,7
NA,NA,NA,11,NA,10,17
NA,NA,NA,0,NA,10,6
91.94,66.92,43.96,3,NA,10,18
64.04,59,83.66,4,NA,10,8
80.06,64.94,59.99,12,NA,10,19
39.2,30.2,69.88,0,NA,10,18
-11.02,-16.06,77.64,3,NA,10,9
71.06,64.04,78.49,15,NA,10,13
82.94,42.98,24.46,12,19,10,19
NA,NA,NA,4,NA,10,6
24.08,19.94,83.96,8,NA,8,11
42.08,33.98,72.78,8,NA,10,13
93.92,42.98,17.28,9,NA,10,17
35.06,24.98,66.36,10,NA,10,9
39.92,37.94,92.56,0,NA,5,11
69.98,53.96,56.78,5,NA,10,7
60.08,39.02,45.6,9,NA,10,17
69.08,42.08,37.49,3,NA,10,15
-0.94,-11.02,61.43,12,NA,10,16
59,33.08,37.46,14,19,10,16
69.98,44.06,39.22,17,22,10,20
78.08,64.04,62.05,15,NA,10,20
71.6,26.6,18.55,5,NA,10,18
66.02,48.02,52.22,8,NA,10,19
78.98,73.04,82.06,12,NA,10,6
55.4,50,81.99,5,NA,10,12
24.8,3.2,38.77,12,20,10,16
39.02,26.96,61.63,8,NA,10,13
73.04,62.06,NA,NA,NA,10,12
71.1,66.9,86.59,12,NA,10,12
80.96,30.02,15.63,3,NA,10,10
93.92,68,42.91,6,NA,10,19
28.94,15.98,57.92,8,NA,10,8
64.9,63,93.56,0,NA,8,10
75.02,71.96,90.22,3,NA,5,9
NA,NA,NA,11,NA,10,15
77,55.94,48.19,8,NA,10,12
NA,NA,NA,7,NA,10,13
50,26.06,39.07,10,18,10,20
57.92,37.04,45.58,20,24,10,14
